txn_id,decision,reviewed_by
5990396,Confirmed Suspicious,tester1
3370637,Confirmed Suspicious,tester1
5883,Confirmed Suspicious,tester1
8977,Confirmed Suspicious,tester2
6226920,Confirmed Suspicious,tester2
6220384,False Positive,
2940000,False Positive,
2550297,False Positive,
3718642,Confirmed Suspicious,
3725283,False Positive,
2519995,False Positive,
5361466,False Positive,
5750015,Confirmed Suspicious,
2056056,False Positive,
loan_771_11,False Positive,
loan_482_11,False Positive,
327480,Confirmed Suspicious,tester1
4876287,Confirmed Suspicious,tester1
5679447,False Positive,tester1
2539071,False Positive,tester1
