txn_id,customer_id,counterparty_id,account_id,product_type,channel,amount,currency,amount_base,country_origin,country_dest,mcc,is_foreign,dt,label,hour,dow,sum_amt_prev3,cnt_prev3,sum_amt_prev10,cnt_prev10,sum_amt_prev30,cnt_prev30,new_counterparty_flag
acct_345,cust_1,bank,acct_main_cust_1,ACCOUNT_EVENT,online,45.42,BND,45.42,BN,BN,,False,2025-02-15 09:00:00,0,9,5,16.97,3.0,692.31,10.0,1584.68,30.0,True
acct_420,cust_10,bank,acct_main_cust_10,ACCOUNT_EVENT,online,163.56,BND,163.56,BN,BN,,False,2025-02-18 12:00:00,0,12,1,62.28999999999978,3.0,711.9499999999999,10.0,3842.47,30.0,True
acct_355,cust_100,cash,acct_main_cust_100,ACCOUNT_EVENT,branch,28.04,BND,28.04,BN,BN,,False,2025-02-15 19:00:00,0,19,5,9.480000000000055,3.0,1047.8000000000002,10.0,3025.36,30.0,True
acct_328,cust_1000,bank,acct_main_cust_1000,ACCOUNT_EVENT,online,224.46,BND,224.46,BN,BN,,False,2025-02-14 16:00:00,0,16,4,7.82,3.0,110.13,10.0,1821.44,30.0,True
acct_265,cust_1005,bank,acct_main_cust_1005,ACCOUNT_EVENT,online,112.36,BND,112.36,BN,BN,,False,2025-02-12 01:00:00,0,1,2,112.88,3.0,2041.07,10.0,3109.35,30.0,True
acct_180,cust_1008,bank,acct_main_cust_1008,ACCOUNT_EVENT,online,115.59,BND,115.59,BN,BN,,False,2025-02-08 12:00:00,0,12,5,10.37,3.0,965.95,10.0,2767.53,30.0,True
acct_5,cust_1009,bank,acct_main_cust_1009,ACCOUNT_EVENT,online,19.67,BND,19.67,BN,BN,,False,2025-02-01 05:00:00,0,5,5,320.75,3.0,862.28,10.0,3032.4300000000003,30.0,True
acct_590,cust_1010,bank,acct_main_cust_1010,ACCOUNT_EVENT,online,101.95,BND,101.95,BN,BN,,False,2025-02-25 14:00:00,0,14,1,35.27000000000002,3.0,146.15,10.0,1486.02,30.0,True
acct_518,cust_1014,cash,acct_main_cust_1014,ACCOUNT_EVENT,branch,38.38,BND,38.38,BN,BN,,False,2025-02-22 14:00:00,0,14,5,211.22,3.0,319.4,10.0,3092.7000000000003,30.0,True
acct_215,cust_1015,cash,acct_main_cust_1015,ACCOUNT_EVENT,branch,55.15,BND,55.15,BN,BN,,False,2025-02-09 23:00:00,0,23,6,53.78000000000023,3.0,611.99,10.0,2842.84,30.0,True
acct_13,cust_1019,bank,acct_main_cust_1019,ACCOUNT_EVENT,online,26.11,BND,26.11,BN,BN,,False,2025-02-01 13:00:00,0,13,5,97.57,3.0,1371.92,10.0,3866.23,30.0,True
acct_138,cust_1020,cash,acct_main_cust_1020,ACCOUNT_EVENT,branch,34.13,BND,34.13,BN,BN,,False,2025-02-06 18:00:00,0,18,3,334.12000000000006,3.0,980.48,10.0,2783.25,30.0,True
acct_146,cust_1020,bank,acct_main_cust_1020,ACCOUNT_EVENT,online,41.19,BND,41.19,BN,BN,,False,2025-02-07 02:00:00,0,2,4,86.18000000000006,3.0,1007.12,10.0,2815.59,30.0,True
acct_100,cust_1029,bank,acct_main_cust_1029,ACCOUNT_EVENT,online,53.34,BND,53.34,BN,BN,,False,2025-02-05 04:00:00,0,4,2,303.15000000000003,3.0,686.1100000000001,10.0,2215.52,30.0,True
acct_473,cust_1035,cash,acct_main_cust_1035,ACCOUNT_EVENT,branch,117.22,BND,117.22,BN,BN,,False,2025-02-20 17:00:00,0,17,3,165.91,3.0,339.67,10.0,2798.21,30.0,True
acct_571,cust_1042,cash,acct_main_cust_1042,ACCOUNT_EVENT,branch,34.18,BND,34.18,BN,BN,,False,2025-02-24 19:00:00,0,19,0,57.7,3.0,484.05,10.0,1174.79,30.0,True
acct_195,cust_1043,bank,acct_main_cust_1043,ACCOUNT_EVENT,online,98.84,BND,98.84,BN,BN,,False,2025-02-09 03:00:00,0,3,6,104.51,3.0,1347.29,10.0,4413.24,30.0,True
acct_599,cust_1050,bank,acct_main_cust_1050,ACCOUNT_EVENT,online,22.52,BND,22.52,BN,BN,,False,2025-02-25 23:00:00,0,23,1,257.16,3.0,636.4399999999999,10.0,5045.93,30.0,True
acct_477,cust_106,cash,acct_main_cust_106,ACCOUNT_EVENT,branch,59.22,BND,59.22,BN,BN,,False,2025-02-20 21:00:00,0,21,3,150.91,3.0,459.46,10.0,1863.62,30.0,True
acct_643,cust_1060,cash,acct_main_cust_1060,ACCOUNT_EVENT,branch,181.65,BND,181.65,BN,BN,,False,2025-02-27 19:00:00,0,19,3,16.170000000000016,3.0,229.73,10.0,2457.57,30.0,True
acct_381,cust_1061,bank,acct_main_cust_1061,ACCOUNT_EVENT,online,85.96,BND,85.96,BN,BN,,False,2025-02-16 21:00:00,0,21,6,38.63999999999994,3.0,480.31000000000006,10.0,2265.5,30.0,True
acct_603,cust_1061,bank,acct_main_cust_1061,ACCOUNT_EVENT,online,42.64,BND,42.64,BN,BN,,False,2025-02-26 03:00:00,0,3,2,110.19999999999992,3.0,521.27,10.0,2349.17,30.0,False
acct_120,cust_1064,bank,acct_main_cust_1064,ACCOUNT_EVENT,online,36.56,BND,36.56,BN,BN,,False,2025-02-06 00:00:00,1,0,3,93.22,3.0,1760.58,10.0,2897.87,30.0,True
acct_202,cust_1068,cash,acct_main_cust_1068,ACCOUNT_EVENT,branch,193.36,BND,193.36,BN,BN,,False,2025-02-09 10:00:00,0,10,6,394.29,3.0,490.03,10.0,1141.09,30.0,True
acct_94,cust_1069,bank,acct_main_cust_1069,ACCOUNT_EVENT,online,104.91,BND,104.91,BN,BN,,False,2025-02-04 22:00:00,0,22,1,11.25,3.0,2453.3,10.0,3404.99,30.0,True
acct_624,cust_1069,bank,acct_main_cust_1069,ACCOUNT_EVENT,online,146.64,BND,146.64,BN,BN,,False,2025-02-27 00:00:00,0,0,3,115.17,3.0,2548.79,10.0,3400.9,30.0,False
acct_648,cust_1069,cash,acct_main_cust_1069,ACCOUNT_EVENT,branch,19.55,BND,19.55,BN,BN,,False,2025-02-28 00:00:00,1,0,4,252.44,3.0,2689.44,10.0,3427.0400000000004,30.0,True
acct_105,cust_1072,cash,acct_main_cust_1072,ACCOUNT_EVENT,branch,144.54,BND,144.54,BN,BN,,False,2025-02-05 09:00:00,0,9,2,193.05,3.0,357.32,10.0,737.0,30.0,True
acct_302,cust_1073,bank,acct_main_cust_1073,ACCOUNT_EVENT,online,86.92,BND,86.92,BN,BN,,False,2025-02-13 14:00:00,0,14,3,145.57,3.0,948.67,10.0,3822.76,30.0,True
acct_529,cust_1073,bank,acct_main_cust_1073,ACCOUNT_EVENT,online,56.92,BND,56.92,BN,BN,,False,2025-02-23 01:00:00,0,1,6,230.92,3.0,985.92,10.0,3908.79,30.0,False
acct_304,cust_1077,bank,acct_main_cust_1077,ACCOUNT_EVENT,online,72.77,BND,72.77,BN,BN,,False,2025-02-13 16:00:00,0,16,3,266.42,3.0,498.1300000000001,10.0,1757.88,30.0,True
acct_281,cust_108,cash,acct_main_cust_108,ACCOUNT_EVENT,branch,129.55,BND,129.55,BN,BN,,False,2025-02-12 17:00:00,0,17,2,77.09999999999995,3.0,256.68,10.0,1342.77,30.0,True
acct_142,cust_1080,cash,acct_main_cust_1080,ACCOUNT_EVENT,branch,30.95,BND,30.95,BN,BN,,False,2025-02-06 22:00:00,0,22,3,1057.73,3.0,1358.45,10.0,2354.13,30.0,True
acct_106,cust_1088,cash,acct_main_cust_1088,ACCOUNT_EVENT,branch,18.97,BND,18.97,BN,BN,,False,2025-02-05 10:00:00,0,10,2,44.0,3.0,488.36,10.0,1110.78,30.0,True
acct_615,cust_1088,cash,acct_main_cust_1088,ACCOUNT_EVENT,branch,57.63,BND,57.63,BN,BN,,False,2025-02-26 15:00:00,0,15,2,34.97,3.0,446.5700000000001,10.0,1107.3,30.0,False
acct_122,cust_109,bank,acct_main_cust_109,ACCOUNT_EVENT,online,66.27,BND,66.27,BN,BN,,False,2025-02-06 02:00:00,0,2,3,128.36,3.0,372.19,10.0,2054.32,30.0,True
acct_108,cust_1090,cash,acct_main_cust_1090,ACCOUNT_EVENT,branch,52.3,BND,52.3,BN,BN,,False,2025-02-05 12:00:00,0,12,2,498.1299999999999,3.0,979.86,10.0,3959.78,30.0,True
acct_359,cust_1093,cash,acct_main_cust_1093,ACCOUNT_EVENT,branch,232.37,BND,232.37,BN,BN,,False,2025-02-15 23:00:00,0,23,5,120.43,3.0,342.07,10.0,2567.08,30.0,True
acct_575,cust_1094,bank,acct_main_cust_1094,ACCOUNT_EVENT,online,132.1,BND,132.1,BN,BN,,False,2025-02-24 23:00:00,0,23,0,113.05,3.0,307.33000000000004,10.0,6622.37,30.0,True
acct_248,cust_1098,bank,acct_main_cust_1098,ACCOUNT_EVENT,online,107.36,BND,107.36,BN,BN,,False,2025-02-11 08:00:00,0,8,1,100.85,3.0,464.85,10.0,1563.2099999999998,30.0,True
acct_498,cust_1115,bank,acct_main_cust_1115,ACCOUNT_EVENT,online,96.5,BND,96.5,BN,BN,,False,2025-02-21 18:00:00,0,18,4,31.679999999999986,3.0,266.17,10.0,1190.06,30.0,True
acct_131,cust_1116,bank,acct_main_cust_1116,ACCOUNT_EVENT,online,37.76,BND,37.76,BN,BN,,False,2025-02-06 11:00:00,0,11,3,54.20999999999989,3.0,197.06,10.0,2412.18,30.0,True
acct_242,cust_1117,cash,acct_main_cust_1117,ACCOUNT_EVENT,branch,61.1,BND,61.1,BN,BN,,False,2025-02-11 02:00:00,0,2,1,75.96999999999994,3.0,439.46,10.0,1933.85,30.0,True
acct_69,cust_1127,bank,acct_main_cust_1127,ACCOUNT_EVENT,online,28.22,BND,28.22,BN,BN,,False,2025-02-03 21:00:00,0,21,0,98.9699999999998,3.0,477.31,10.0,6361.219999999999,30.0,True
acct_99,cust_113,cash,acct_main_cust_113,ACCOUNT_EVENT,branch,429.15,BND,429.15,BN,BN,,False,2025-02-05 03:00:00,0,3,2,155.97,3.0,788.14,10.0,2747.12,30.0,True
acct_147,cust_113,bank,acct_main_cust_113,ACCOUNT_EVENT,online,65.28,BND,65.28,BN,BN,,False,2025-02-07 03:00:00,0,3,4,436.12,3.0,1216.29,10.0,3121.79,30.0,True
acct_275,cust_113,bank,acct_main_cust_113,ACCOUNT_EVENT,online,94.98,BND,94.98,BN,BN,,False,2025-02-12 11:00:00,0,11,2,496.41,3.0,717.27,10.0,3182.5800000000004,30.0,False
acct_298,cust_1133,bank,acct_main_cust_1133,ACCOUNT_EVENT,online,38.66,BND,38.66,BN,BN,,False,2025-02-13 10:00:00,0,10,3,53.49,3.0,823.9599999999999,10.0,2469.1600000000003,30.0,True
acct_199,cust_1135,bank,acct_main_cust_1135,ACCOUNT_EVENT,online,39.66,BND,39.66,BN,BN,,False,2025-02-09 07:00:00,0,7,6,147.52999999999994,3.0,327.08,10.0,1338.93,30.0,True
acct_313,cust_1139,bank,acct_main_cust_1139,ACCOUNT_EVENT,online,13.14,BND,13.14,BN,BN,,False,2025-02-14 01:00:00,0,1,4,52.3200000000001,3.0,251.17,10.0,1645.62,30.0,True
acct_379,cust_114,cash,acct_main_cust_114,ACCOUNT_EVENT,branch,87.7,BND,87.7,BN,BN,,False,2025-02-16 19:00:00,0,19,6,227.83,3.0,562.21,10.0,1389.48,30.0,True
acct_296,cust_1140,cash,acct_main_cust_1140,ACCOUNT_EVENT,branch,111.96,BND,111.96,BN,BN,,False,2025-02-13 08:00:00,0,8,3,112.05000000000004,3.0,774.8999999999999,10.0,2170.18,30.0,True
acct_95,cust_1149,cash,acct_main_cust_1149,ACCOUNT_EVENT,branch,130.16,BND,130.16,BN,BN,,False,2025-02-04 23:00:00,0,23,1,246.98,3.0,1057.7600000000002,10.0,4276.2,30.0,True
acct_617,cust_1149,bank,acct_main_cust_1149,ACCOUNT_EVENT,online,156.53,BND,156.53,BN,BN,,False,2025-02-26 17:00:00,0,17,2,368.16,3.0,674.1200000000002,10.0,4346.360000000001,30.0,True
