txn_id,customer_id,counterparty_id,account_id,product_type,channel,amount,currency,amount_base,country_origin,country_dest,mcc,is_foreign,dt,label,hour,dow,sum_amt_prev3,cnt_prev3,sum_amt_prev10,cnt_prev10,sum_amt_prev30,cnt_prev30,new_counterparty_flag
acct_967,cust_1,bank,acct_main_cust_1,ACCOUNT_EVENT,online,46.34,BND,46.34,BN,BN,,False,2025-03-13 07:00:00,0,7,3,60.41,3.0,394.34,10.0,1560.1,30.0,False
acct_963,cust_1002,cash,acct_main_cust_1002,ACCOUNT_EVENT,branch,84.17,BND,84.17,BN,BN,,False,2025-03-13 03:00:00,0,3,3,34.29,3.0,1100.02,10.0,3272.25,30.0,True
acct_1004,cust_1006,bank,acct_main_cust_1006,ACCOUNT_EVENT,online,117.58,BND,117.58,BN,BN,,False,2025-03-14 20:00:00,0,20,4,167.7,3.0,254.15,10.0,5615.429999999999,30.0,True
acct_1051,cust_1006,cash,acct_main_cust_1006,ACCOUNT_EVENT,branch,45.33,BND,45.33,BN,BN,,False,2025-03-16 19:00:00,0,19,6,283.49,3.0,359.42,10.0,5703.070000000001,30.0,True
acct_1240,cust_1012,bank,acct_main_cust_1012,ACCOUNT_EVENT,online,122.51,BND,122.51,BN,BN,,False,2025-03-24 16:00:00,0,16,0,39.97,3.0,408.57,10.0,1304.36,30.0,True
acct_745,cust_1016,cash,acct_main_cust_1016,ACCOUNT_EVENT,branch,73.18,BND,73.18,BN,BN,,False,2025-03-04 01:00:00,0,1,1,46.28,3.0,347.75,10.0,1994.23,30.0,True
acct_1046,cust_1022,bank,acct_main_cust_1022,ACCOUNT_EVENT,online,122.05,BND,122.05,BN,BN,,False,2025-03-16 14:00:00,0,14,6,97.77,3.0,1392.58,10.0,2484.1800000000003,30.0,True
acct_1186,cust_1022,bank,acct_main_cust_1022,ACCOUNT_EVENT,online,29.14,BND,29.14,BN,BN,,False,2025-03-22 10:00:00,0,10,5,150.93,3.0,1490.65,10.0,2586.23,30.0,False
acct_1171,cust_1023,cash,acct_main_cust_1023,ACCOUNT_EVENT,branch,254.9,BND,254.9,BN,BN,,False,2025-03-21 19:00:00,0,19,4,45.74000000000022,3.0,1303.8100000000002,10.0,4522.45,30.0,True
acct_1364,cust_1024,cash,acct_main_cust_1024,ACCOUNT_EVENT,branch,66.32,BND,66.32,BN,BN,,False,2025-03-29 20:00:00,0,20,5,18.54,3.0,1936.08,10.0,3163.32,30.0,True
